Well,Fluor,Target,Content,Sample,Cq
A01,SYBR,Anxa5,Unkn-001,322_WT_1,19.02
A02,SYBR,Anxa5,Unkn-009,323_WT_1,18.59
A03,SYBR,Anxa5,Unkn-017,324_KO_1,18.57
A04,SYBR,Anxa5,Unkn-025,325_KO_1,18.52
A05,SYBR,Anxa5,Unkn-033,326_KO_1,18.84
A06,SYBR,Anxa5,Unkn-041,327_KO_1,18.42
A07,SYBR,Anxa5,Unkn-049,328_WT_1,18.31
A08,SYBR,Anxa5,Unkn-057,336_KO_1,18.47
A09,SYBR,Anxa5,Unkn-065,322_WT_2,18.62
A10,SYBR,Anxa5,Unkn-073,323_WT_2,18.65
A11,SYBR,Anxa5,Unkn-081,324_KO_2,18.37
A12,SYBR,Anxa5,Unkn-089,325_KO_2,18.58
A13,SYBR,Anxa5,Unkn-097,326_KO_2,18.51
A14,SYBR,Anxa5,Unkn-105,327_KO_2,18.31
A15,SYBR,Anxa5,Unkn-113,328_WT_2,18.4
A16,SYBR,Anxa5,Unkn-121,336_KO_2,18.48
A17,SYBR,Anxa5,Neg Ctrl-001,"NA_NA_1",NA
B01,SYBR,Anxa5,Unkn-001,322_WT_1,18.42
B02,SYBR,Anxa5,Unkn-009,323_WT_1,18.04
B03,SYBR,Anxa5,Unkn-017,324_KO_1,18.28
B04,SYBR,Anxa5,Unkn-025,325_KO_1,18.41
B05,SYBR,Anxa5,Unkn-033,326_KO_1,18.33
B06,SYBR,Anxa5,Unkn-041,327_KO_1,18.47
B07,SYBR,Anxa5,Unkn-049,328_WT_1,18.35
B08,SYBR,Anxa5,Unkn-057,336_KO_1,18.22
B09,SYBR,Anxa5,Unkn-065,322_WT_2,18.55
B10,SYBR,Anxa5,Unkn-073,323_WT_2,18.63
B11,SYBR,Anxa5,Unkn-081,324_KO_2,18.41
B12,SYBR,Anxa5,Unkn-089,325_KO_2,18.54
B13,SYBR,Anxa5,Unkn-097,326_KO_2,18.37
B14,SYBR,Anxa5,Unkn-105,327_KO_2,18.41
B15,SYBR,Anxa5,Unkn-113,328_WT_2,18.55
B16,SYBR,Anxa5,Unkn-121,336_KO_2,18.51
B17,SYBR,Anxa5,Neg Ctrl-001,"NA_NA_1",NA
C01,SYBR,B2m,Unkn-002,322_WT_1,17.05
C02,SYBR,B2m,Unkn-010,323_WT_1,16.66
C03,SYBR,B2m,Unkn-018,324_KO_1,16.73
C04,SYBR,B2m,Unkn-026,325_KO_1,17.03
C05,SYBR,B2m,Unkn-034,326_KO_1,16.61
C06,SYBR,B2m,Unkn-042,327_KO_1,16.84
C07,SYBR,B2m,Unkn-050,328_WT_1,17.37
C08,SYBR,B2m,Unkn-058,336_KO_1,16.97
C09,SYBR,B2m,Unkn-066,322_WT_2,17.14
